site,date,net,month,matcode
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL30,5,f
ABY,05/22/22,GIL20,5,f
ABY,05/22/22,GIL20,5,f
ABY,05/22/22,GIL20,5,f
ABY,05/22/22,GIL20,5,f
ABY,05/22/22,GIL20,5,f
ABY,05/22/22,GIL20,5,f
ABY,05/22/22,GIL10,5,f
ABY,05/22/22,GIL10,5,f
ABY,05/22/22,GIL10,5,f
ABY,05/22/22,GIL10,5,f
ABY,05/22/22,GIL10,5,f
ABY,05/22/22,GIL10,5,f
ABY,06/25/22,GIL20,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,GIL10,6,f
ABY,06/25/22,MINBEN01,6,f
ABY,05/22/22,GIL20,5,f
ABY,06/25/22,GIL20,6,f
ABY,05/22/22,GIL20,5,f
ABY,07/29/22,GIL10,7,f
ABY,05/22/22,GIL20,5,f
ABY,05/22/22,GIL20,5,f
ABY,06/25/22,GIL10,6,f
ABY,05/22/22,GIL10,5,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,07/29/22,GIL10,7,f
ABY,05/22/22,GIL20,5,f
ABY,07/29/22,GIL10,7,f
ABY,05/22/22,GIL20,5,f
ABY,06/25/22,GIL10,6,f
BLH,05/21/22,GIL10,5,f
BLH,05/21/22,GIL10,5,f
BLH,05/21/22,GIL10,5,f
BLH,05/21/22,GIL10,5,f
BLH,06/26/22,GIL30,6,f
BLH,06/26/22,GIL10,6,f
BLH,06/26/22,GIL10,6,f
BLH,06/26/22,GIL10,6,f
BLH,06/26/22,GIL10,6,f
BLH,06/26/22,MINBEN05,6,f
BLH,05/21/22,GIL30,5,f
BLH,05/21/22,GIL30,5,f
BLH,07/30/22,GIL10,7,f
BLH,05/21/22,GIL30,5,f
BLH,05/21/22,GIL30,5,f
BLH,05/21/22,GIL20,5,f
BLH,07/30/22,GIL10,7,f
BLH,07/30/22,GIL10,7,f
BLH,07/30/22,GIL10,7,f
BLH,07/30/22,GIL10,7,f
BLH,07/30/22,GIL10,7,f
BLH,07/30/22,GIL10,7,f
BLH,05/21/22,GIL30,5,f
DAG,06/23/22,GIL30,6,f
DAG,06/23/22,GIL30,6,f
DAG,06/23/22,GIL20,6,f
DAG,06/23/22,GIL20,6,f
DAG,06/23/22,GIL20,6,f
DAG,06/23/22,GIL20,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL10,6,f
DAG,07/26/22,GIL20,7,f
DAG,07/26/22,GIL10,7,f
DAG,07/26/22,GIL10,7,f
DAG,06/23/22,GIL10,6,f
DAG,06/23/22,GIL20,6,f
DAG,06/23/22,GIL20,6,f
HEK,07/25/22,MINBEN01,7,f
HEK,06/22/22,MINBEN02,6,f
HEK,06/22/22,MINBEN02,6,f
HEK,07/25/22,GIL10,7,f
HEK,05/24/22,GIL20,5,f
HEK,05/24/22,GIL10,5,f
HEK,05/24/22,GIL10,5,f
HEK,05/24/22,GIL10,5,f
HEK,06/22/22,GIL30,6,f
HEK,06/22/22,GIL20,6,f
HEK,06/22/22,GIL20,6,f
HEK,06/22/22,GIL20,6,f
HEK,06/22/22,GIL20,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL10,6,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,07/25/22,GIL10,7,f
HEK,05/24/22,GIL10,5,f
HEK,06/22/22,GIL20,6,f
HEK,05/24/22,GIL30,5,f
HEK,06/22/22,GIL10,6,f
HEK,06/22/22,GIL20,6,f
HEK,07/25/22,GIL10,7,f
NTS,05/23/22,GIL20,5,f
NTS,05/23/22,GIL20,5,f
NTS,05/23/22,GIL10,5,f
NTS,05/23/22,GIL10,5,f
NTS,05/23/22,GIL10,5,f
NTS,05/23/22,GIL10,5,f
NTS,05/23/22,GIL10,5,f
NTS,05/23/22,GIL10,5,f
NTS,07/24/22,GIL10,7,f
NTS,06/15/22,GIl10,6,f
NTS,07/24/22,GIL10,7,f
PEP,05/18/22,GIL30,5,f
PEP,05/18/22,GIL30,5,f
PEP,05/18/22,GIL30,5,f
PEP,05/18/22,GIL30,5,f
PEP,05/18/22,GIL30,5,f
PEP,05/18/22,GIL30,5,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,GIL10,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,06/16/22,HOPS,6,f
PEP,07/23/22,GIL20,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,07/23/22,GIL10,7,f
PEP,05/18/22,GIL20,5,f
PEP,06/16/22,GIL10,6,f
PEP,05/18/22,GIL20,5,f
PLQ,05/26/22,MINBEN01,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,05/26/22,GIL10,5,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,06/27/22,GIL10,6,f
PLQ,07/27/22,GIL10,7,f
PLQ,07/27/22,GIL10,7,f
PLQ,07/27/22,GIL10,7,f
PLQ,07/27/22,GIL10,7,f
PLQ,07/27/22,GIL10,7,f
PLQ,07/27/22,GIL10,7,f
PLQ,07/27/22,GIL10,7,f
PLQ,05/26/22,GIL20,5,f
PLQ,05/26/22,GIL20,5,f
PLQ,05/26/22,GIL30,5,f
PYR,05/19/22,GIL30,5,f
PYR,05/19/22,GIL20,5,f
PYR,05/19/22,GIL20,5,f
PYR,05/19/22,GIL20,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,05/19/22,GIL10,5,f
PYR,06/28/22,GIL20,6,f
PYR,06/28/22,GIL20,6,f
PYR,06/28/22,GIL20,6,f
PYR,06/28/22,GIL20,6,f
PYR,06/28/22,GIL20,6,f
PYR,06/28/22,GIL20,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,06/28/22,GIL10,6,f
PYR,05/19/22,GIL20,5,f
PYR,07/28/22,GIL10,7,f
PYR,07/28/22,GIL10,7,f
PYR,07/28/22,GIL10,7,f
PYR,07/28/22,GIL10,7,f
PYR,07/28/22,GIL10,7,f
PYR,06/28/22,GIL20,6,f
PYR,07/28/22,GIL10,7,f
TAM,06/20/22,HOPS,6,f
TAM,06/20/22,HOPS,6,f
TAM,06/21/22,GIL20,6,f
TAM,06/21/22,GIL20,6,f
TAM,06/21/22,GIL10,6,f
TAM,06/21/22,GIL10,6,f
TAM,06/21/22,GIL10,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,HOPS,6,f
TAM,06/21/22,MINBEN05,6,f
TAM,06/21/22,GIL30,6,f
TAM,06/21/22,GIL20,6,f
TAM,06/21/22,GIL20,6,f
TAM,07/31/22,GIL10,7,f
TAM,07/31/22,GIL10,7,f
TAM,07/31/22,GIL10,7,f
TAM,07/31/22,GIL10,7,f
TAM,07/31/22,GIL10,7,f
TAM,07/31/22,GIL20,7,f
TAM,07/31/22,GIL10,7,f
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
TAM,05/04/22,GIL10,5,m
PEP,05/18/22,GIL30,5,m
PEP,05/18/22,GIL30,5,m
PEP,05/18/22,GIL20,5,m
PYR,05/19/22,GIL30,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL20,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
PYR,05/19/22,GIL10,5,m
ABY,07/29/22,MINBEN02,7,m
ABY,06/25/22,HOPS,6,m
BLH,05/21/22,GIL20,5,m
BLH,05/21/22,GIL10,5,m
BLH,05/21/22,GIL10,5,m
BLH,05/21/22,GIL10,5,m
ABY,05/22/22,GIL30,5,m
ABY,05/22/22,GIL30,5,m
ABY,05/22/22,GIL30,5,m
ABY,05/22/22,GIL30,5,m
ABY,05/22/22,GIL20,5,m
ABY,05/22/22,GIL20,5,m
ABY,05/22/22,GIL10,5,m
ABY,05/22/22,GIL10,5,m
NTS,05/23/22,GIL20,5,m
NTS,05/23/22,GIL20,5,m
NTS,05/23/22,GIL10,5,m
NTS,05/23/22,GIL10,5,m
NTS,05/23/22,GIL10,5,m
NTS,05/23/22,GIL10,5,m
HEK,05/24/22,GIL10,5,m
HEK,05/24/22,GIL10,5,m
HEK,05/24/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
PLQ,05/26/22,GIL10,5,m
