pendant,site,month,depth,depth_bin,date_time,temp,,,,
2,HEK,5,15,2,5/18/2022 18:24,9.866,,,,
2,HEK,5,15,2,5/18/2022 19:24,9.768,,,,
2,HEK,5,15,2,5/18/2022 20:24,9.768,,,,
2,HEK,5,15,2,5/18/2022 21:24,9.866,,,,
2,HEK,5,15,2,5/18/2022 22:24,9.768,,,,
2,HEK,5,15,2,5/18/2022 23:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 0:24,9.965,,,,
2,HEK,5,15,2,5/19/2022 1:24,9.965,,,,
2,HEK,5,15,2,5/19/2022 2:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 3:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 4:24,9.768,,,,
2,HEK,5,15,2,5/19/2022 5:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 6:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 7:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 8:24,9.768,,,,
2,HEK,5,15,2,5/19/2022 9:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 10:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 11:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 12:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 13:24,9.669,,,,
2,HEK,5,15,2,5/19/2022 14:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 15:24,9.965,,,,
2,HEK,5,15,2,5/19/2022 16:24,9.866,,,,
2,HEK,5,15,2,5/19/2022 17:24,9.965,,,,
2,HEK,5,15,2,5/19/2022 18:24,9.768,,,,
2,HEK,5,15,2,5/19/2022 19:24,10.259,,,,
2,HEK,5,15,2,5/19/2022 20:24,9.768,,,,
2,HEK,5,15,2,5/19/2022 21:24,9.768,,,,
2,HEK,5,15,2,5/19/2022 22:24,8.978,,,,
2,HEK,5,15,2,5/19/2022 23:24,8.779,,,,
2,HEK,5,15,2,5/20/2022 0:24,8.481,,,,
